date,Urban,Rural,Urban_Wireless,Rural_Wireless,Urban_Wireline,Rural_Wireline,Total(million)
Nov-18,664.54,529.18,645.71,526.05,18.83,3.13,1193.72
Dec-18,666.28,531.59,647.52,528.48,18.76,3.11,1197.87
Jan-19,672.91,530.86,654.2,527.77,18.71,3.08,1203.77
Feb-19,675.24,530.16,656.57,527.11,18.67,3.05,1205.4
Mar-19,669.16,514.35,650.49,511.32,18.67,3.02,1183.51
Apr-19,670.86,512.91,652.35,509.95,18.52,2.96,1183.77
May-19,674.66,508.49,656.27,505.59,18.39,2.9,1183.15
Jun-19,675.58,511.05,657.27,508.19,18.31,2.85,1186.63
Jul-19,678.02,511.25,659.87,508.45,18.16,2.81,1189.28
Aug-19,680.8,511.02,662.74,508.25,18.05,2.76,1191.81
Sep-19,677.95,517.29,659.18,514.56,18.77,2.72,1195.24
Oct-19,681.69,523.16,662.92,520.48,18.76,2.68,1204.85
Nov-19,665.99,509.89,647.33,507.26,18.66,2.63,1175.88
Dec-19,662.45,509.99,643.97,507.46,18.47,2.53,1172.44
Jan-20,662.75,514.27,644.54,511.9,18.21,2.37,1177.02
Feb-20,661.23,519.62,643.24,517.34,17.98,2.28,1180.84
Mar-20,656.46,521.51,638.48,519.27,17.97,2.24,1177.97
Apr-20,647.19,522.24,629.44,520.08,17.76,2.16,1169.44
May-20,637.85,525.82,620.21,523.7,17.65,2.12,1163.67
Jun-20,636.83,523.69,619.11,521.6,17.72,2.09,1160.52
Jul-20,638.46,525.54,620.68,523.5,17.78,2.04,1164
Sep-20,644.26,524.39,626.16,522.42,18.1,1.98,1168.66
Oct-20,647.36,524.44,629.28,522.53,18.07,1.92,1171.8
Nov-20,648.6,526.67,630.4,524.8,18.2,1.87,1175.27
Dec-20,647.91,525.92,629.67,524.11,18.24,1.81,1173.83
Jan-21,653.29,530.19,634.97,528.44,18.32,1.75,1183.49
Feb-21,657.72,530.18,639.24,528.47,18.47,1.71,1187.9
Mar-21,663.77,537.42,645.2,535.75,18.57,1.67,1201.2
Apr-21,664.34,539.14,645.62,537.49,18.72,1.64,1203.47
May-21,661.18,537.32,641.48,535.36,19.7,1.96,1198.5
Jun-21,666.1,536.47,646.29,534.54,19.8,1.93,1202.57
Jul-21,670.75,538.7,650.1,536.74,20.65,1.96,1209.45
Aug-21,671.31,538.28,650.39,536.33,20.91,1.95,1209.58
Sep-21,659.09,530.06,637.89,528.13,21.2,1.93,1189.15
Oct-21,658.83,530.79,637.44,528.86,21.39,1.93,1189.62
Nov-21,660.08,530.96,638.46,529.04,21.62,1.92,1191.05
Jan-22,649.38,520.08,627.12,518.13,22.26,1.95,1169.46
Feb-22,647.76,518.29,625.19,516.34,22.57,1.94,1166.05
Mar-22,647.11,519.82,624.23,517.86,22.88,1.96,1166.93
Apr-22,646.99,520.82,623.78,518.88,23.22,1.94,1167.82
May-22,647.81,522.92,624.55,520.96,23.26,1.97,1170.73
Jun-22,649.09,523.87,625.49,521.9,23.6,1.97,1172.96
Jul-22,650.4,523.26,626.74,521.29,23.66,1.97,1173.66
Aug-22,651.07,524.01,627.09,522.02,23.98,1.99,1175.08
Sep-22,651.61,520.3,627.14,518.31,24.48,1.99,1171.92
Oct-22,649.99,520.46,625.18,518.45,24.81,2.01,1170.45
Nov-22,651.68,518.5,626.6,516.45,25.08,2.05,1170.18
Dec-22,652.39,517.99,627.03,515.89,25.35,2.1,1170.38
Jan-23,652.72,518.03,627.13,515.89,25.59,2.14,1170.75
Feb-23,652.16,517.77,626.37,515.6,25.79,2.17,1169.93
Mar-23,653.71,518.63,627.54,516.38,26.16,2.25,1172.34
Apr-23,653.88,518.64,626.74,516.39,27.14,2.25,1172.52
May-23,653.43,519.14,626.26,516.95,27.18,2.19,1172.57
Jun-23,653.7,520.19,626.07,517.51,27.63,2.68,1173.89
Jul-23,656.47,520.38,628.55,517.69,27.92,2.69,1176.85
Aug-23,657.47,521.74,629.39,519.04,28.08,2.7,1179.21
Sep-23,658.46,522.66,630.17,519.99,28.3,2.68,1181.13
Oct-23,658.99,523.32,630.36,520.62,28.63,2.7,1182.31
Nov-23,659.58,526.15,630.72,523.45,28.87,2.7,1185.73
Dec-23,662.56,527.77,633.44,525.05,29.12,2.72,1190.33
Jan-24,663.72,529.53,633.96,526.75,29.75,2.79,1193.25
Feb-24,666.4,531.35,636.11,528.53,30.29,2.81,1197.75
Mar-24,665.38,533.9,634.47,531.02,30.92,2.88,1199.28
Apr-24,664.89,536.33,633.53,533.42,31.36,2.9,1201.22
May-24,665.89,537.8,634.1,534.85,31.78,2.95,1203.69
Jun-24,667.13,538.51,635,535.53,32.13,2.98,1205.64
Jul-24,667.96,537.21,635.46,534.15,32.5,3.06,1205.17
Aug-24,666.58,533.49,633.21,530.63,33.37,2.86,1200.07
Sep-24,662.15,528.51,628.12,525.6,34.03,2.9,1190.66
Oct-24,660.42,527.79,625.56,524.86,34.86,2.93,1188.2
Nov-24,659.87,527.27,624.32,524.32,35.55,2.95,1187.15
Dec-24,663.37,526.56,627.08,523.58,36.29,2.98,1189.92
Jan-25,663.83,528.2,631.6,525.41,32.24,2.79,1192.03
Feb-25,667.93,529.31,634,526.33,33.93,2.98,1197.23
Mar-25,666.11,534.69,632.57,531.18,33.54,3.5,1200.8
Apr-25,667.19,536.65,633.29,533.14,33.9,3.51,1203.84
May-25,669.69,537.39,634.91,533.51,34.78,3.88,1207.08
Jun-25,679.86,538.5,637.87,533,41.99,5.5,1218.36
Jul-25,683.52,536.51,641.03,530.88,42.48,5.63,1220.02
Aug-25,686.79,537.75,645.27,532.76,41.52,4.99,1224.54
Sep-25,689.11,539.83,647.47,534.85,41.64,4.98,1228.94
Oct-25,689.61,541.77,647.82,536.8,41.78,4.97,1231.38
Nov-25,692.16,542.37,650.22,537.26,41.94,5.11,1234.53
Jan-26,768.26,545.74,725.67,540.67,42.59,5.07,1314
Feb-26,773.66,547.65,730.75,542.56,42.91,5.08,1321.31
Mar-26,778.79,551.79,735.73,546.6,43.06,5.19,1330.58
Apr-26,783.12,554.41,739.78,549.18,43.34,5.23,1337.54
