Sr no,Number of transaction,Date,Onsite_ATMs,Offsite_ATMs,PoS_Terminals,Micro_ATMs,Bharat_QR_Codes,UPI_QR_Codes,Credit_Cards_Outstanding,Debit_Cards_Outstanding,CC_PoS_Volume,CC_PoS_Value_Crore,DC_PoS_Value_Crore,DC_Ecommerce_Volume,DC_Ecommerce_Value_Crore,DC_Other_Volume,DC_Other_Value_Crore,DC_ATM_Withdrawal_Volume,DC_ATM_Withdrawal_Value_Crore,DC_PoS_Cash_Withdrawal_Volume,DC_PoS_Cash_Withdrawal_Value_Crore,total_cash_withdrawal_value_crore,Ecommerce Spend,Cash_to_Digital_Reliance_Ratio,atm_ats,ecom_ats,qr_pos_ratio
18,64,2024-11-01,129028,86359,9690872,1451783,6359691,626179913,107239710,979571767,203602021,68233.4314,26676.6798,31461770,12165.1676,102956,168.1596,473461480,240470.5908,26920,0.2934,240470.8842,107075.2788,2.2458114225335084,5078.99,3866.65,65.27169113367714
19,64,2024-10-01,128886,87322,9509265,1450704,6431243,616851592,106889655,980910678,219672648,79292.8079,32091.3955,36584271,14550.8267,116146,187.5291,551523295,284076.1475,28011,3.1647,284079.31220000004,125935.0301,2.255760863156375,5150.76,3977.34,65.544796048906
20,64,2024-09-01,127929,87838,9342792,1452891,6416121,607078667,106103318,973281885,197805269,60857.0913,25776.9047,35749253,14146.2194,109833,178.3838,492217655,243929.5322,25466,2.5483,243932.08049999998,100780.2154,2.420436189105426,4955.72,3957.07,65.66503760332029
21,64,2024-08-01,127395,88056,9300689,1449541,6397044,591292586,105424368,968549216,202395092,63048.0567,29345.6046,35990011,14009.6558,114985,186.5741,512853446,253703.4513,28487,2.8193,253706.2706,106403.31710000001,2.3843830955153553,4946.9,3892.65,64.26294116489649
22,64,2024-07-01,127123,89229,8971653,1478495,6186837,585113612,104568437,963202289,197093825,62284.0862,28599.7562,38680230,15965.654,117996,199.257,504014444,248967.6959,26880,2.6837,248970.3796,106849.49639999999,2.330103444455729,4939.69,4127.6,65.90763697615144
23,64,2024-06-01,126772,90142,8966994,1524658,6164285,577015207,103813018,962423990,189539729,59417.1881,27629.4974,35922874,13440.8621,113155,188.503,504581442,253843.9036,26770,2.7535,253846.65709999998,100487.54759999999,2.526150385423477,5030.78,3741.59,65.03623087067974
24,64,2024-05-01,126741,90591,8804112,1569099,6120597,569084478,103300377,956598286,190657554,63831.1656,29771.7126,38828237,13587.8616,118834,205.3923,513352410,258784.9799,30889,3.0227,258788.0026,107190.73980000001,2.4142757395168197,5041.08,3499.48,65.33368441928044
25,65,2024-04-01,126593,91826,8838746,1743533,6072780,559720407,102539752,950944926,184335568,61982.0116,30022.2066,39111034,13681.425,119186,207.4603,520760143,264456.7274,50233,5.0192,264461.74659999995,105685.6432,2.502343162159985,5078.28,3498.1,64.01283473922658
26,65,2024-03-01,126116,92699,8902926,1755119,6250196,343492584,101802736,964919399,180004266,60378.1572,29309.0057,42968320,15213.8019,129481,226.1398,552862640,276713.8389,51394,4.9859,276718.8248,104900.9648,2.6379054313521433,5005.11,3540.7,39.28402639761355
27,65,2024-02-01,126250,92977,8773202,1701087,6149634,337180260,100600166,960670824,161850185,54431.4786,27918.0823,41226929,13323.5416,124507,210.448,513916828,255808.9366,53399,5.0742,255814.0108,95673.1025,2.6738341719398093,4977.63,3231.76,39.13393240005188
28,65,2024-01-01,126247,93381,8593226,1760454,6003737,321379274,99500257,957565545,172558618,58531.7661,30383.407,45014041,14882.6173,135975,220.5492,527218696,259326.3252,63943,6.1194,259332.4446,103797.7904,2.498438970623791,4918.76,3306.22,38.097800639713185
29,65,2023-12-01,126211,93671,8567404,1688558,5956884,317065667,97904611,960880694,170670440,58300.1775,32225.3493,46503231,15484.3192,153117,224.8509,542847035,267842.5036,66002,6.4043,267848.9079,106009.84599999999,2.526641797970351,4934.03,3329.73,37.70366741197217
30,61,2023-11-01,126210,93736,8432188,1587203,5874077,308738854,96001382,976569441,158365586,59014.9316,34379.1945,46821493,14794.6512,149673,220.3056,550575141,275032.3988,74817,7.2921,275039.69090000005,108188.77729999999,2.542220161499136,4995.37,3159.8,37.310948356464536
31,61,2023-10-01,125969,93771,8348085,1530287,5974796,301720198,94710817,980170746,159674344,57774.3548,33730.8257,52743879,18138.8556,151120,231.4596,568338459,276289.3258,84182,8.265,276297.5908,109644.0361,2.519950930554991,4861.35,3439.04,36.858152977599055
32,61,2023-09-01,125530,93751,8303183,1487340,5981788,295005751,93017482,978286201,142095530,49440.362,30511.7307,51173127,16127.2721,152430,227.4358,534069516,259071.9255,95914,9.1857,259081.1112,96079.36480000001,2.6965323067997633,4850.9,3151.51,36.24965739042485
33,61,2023-08-01,125097,93934,8246614,1529170,5899351,288164224,91278257,978056921,152079075,52960.7049,34604.6102,57865140,17839.1388,156506,235.9193,568510399,271611.6834,124994,12.169,271623.8524,105404.45390000001,2.5769675032679045,4777.6,3082.88,35.65870489391161
34,61,2023-07-01,124035,93950,8122659,1536551,5805513,280725218,89873251,970740526,143420966,49789.4278,33512.5029,61443583,19539.0977,166902,261.5324,555398241,267869.8795,222629,21.8174,267891.6969,102841.0284,2.604910715770322,4823.02,3180.01,35.27548441957246
