state_ut,households_surveyed_total,Electricity_Access_total,households_clean_fuel_pct_total,female_literacy_pct_total,male_literacy_pct_total,female_schooling_pct_total,male_schooling_pct_total,Women_Internet_pct_total,Men_Internet_pct_total,women_bank_account_pct_total,Women_Mobile_Ownership_pct_total,women_household_decisions_pct_total,households_surveyed_rural,Electricity_Access_rural,households_clean_fuel_pct_rural,female_literacy_pct_rural,male_literacy_pct_rural,female_schooling_pct_rural,male_schooling_pct_rural,Women_Internet_pct_rural,Men_Internet_pct_rural,women_bank_account_pct_rural,Women_Mobile_Ownership_pct_rural,women_household_decisions_pct_rural,households_surveyed_urban,Electricity_Access_urban,households_clean_fuel_pct_urban,female_literacy_pct_urban,male_literacy_pct_urban,female_schooling_pct_urban,male_schooling_pct_urban,Women_Internet_pct_urban,Men_Internet_pct_urban,women_bank_account_pct_urban,Women_Mobile_Ownership_pct_urban,women_household_decisions_pct_urban,gpi_internet,internet_to_mobile_conversion,finance_to_digital_conversion
Kerala,12330,99.6,72.1,98.3,98.2,77.0,73.3,61.1,76.1,78.5,86.6,94.1,7283,99.3,66.3,97.5,97.4,75.3,70.2,57.5,74.2,78.2,86.9,94.6,5047,99.9,78.5,99.1,99.2,78.8,76.8,64.9,78.3,78.9,86.2,93.6,0.8028909329829172,70.55427251732102,90.64665127020785
Ladakh,1818,99.5,76.3,76.8,93.7,50.0,72.7,56.4,67.8,88.4,81.2,80.4,1410,99.5,71.3,76.6,94.2,49.2,74.8,54.0,64.3,88.7,81.2,80.3,408,99.1,97.2,77.7,91.9,53.8,64.1,66.5,82.9,87.2,80.8,81.2,0.831858407079646,69.45812807881772,108.86699507389164
Lakshadweep,921,99.8,59.4,96.5,99.1,67.8,80.9,56.4,80.3,66.9,84.0,92.2,197,100.0,24.7,96.8,96.3,66.3,69.4,36.0,77.0,67.0,80.1,,724,99.7,68.5,96.4,100.0,68.2,84.9,61.8,81.5,66.9,85.1,91.9,0.7023661270236613,67.14285714285714,79.64285714285715
Madhya Pradesh,43552,98.4,40.1,68.9,85.3,29.3,39.9,26.9,55.7,74.7,38.5,86.0,34548,98.0,23.6,63.3,82.6,21.7,35.0,20.1,49.3,73.3,31.4,84.1,9004,99.4,84.3,83.3,92.3,49.1,53.1,46.5,72.7,78.5,58.8,91.7,0.4829443447037701,69.87012987012987,194.02597402597402
Maharastra,31643,97.8,79.7,84.6,93.0,50.4,61.0,38.0,61.5,72.8,54.8,89.8,21349,96.7,65.4,79.5,91.5,40.7,54.3,23.7,47.2,70.9,43.1,89.2,10294,99.1,95.6,90.2,94.6,61.1,68.3,54.3,76.8,75.0,68.2,90.7,0.6178861788617886,69.34306569343066,132.84671532846716
Manipur,7881,98.1,70.4,87.6,95.2,48.1,58.7,44.8,73.9,74.0,72.2,94.8,5873,97.5,60.7,84.8,94.0,40.6,52.7,40.4,68.2,70.7,68.2,95.0,2008,99.1,86.4,92.1,96.9,60.0,66.9,50.8,81.5,78.6,77.8,94.4,0.6062246278755073,62.04986149584487,102.49307479224376
Meghalaya,10148,91.9,33.7,88.2,83.7,35.1,34.7,34.7,42.1,70.4,67.5,92.3,8962,90.6,21.7,85.5,81.5,27.3,27.7,28.0,38.5,68.2,64.3,92.0,1186,97.3,76.7,97.1,92.9,61.4,63.9,57.8,59.2,78.0,78.2,93.3,0.824228028503563,51.40740740740741,104.2962962962963
Mizoram,7257,98.2,83.8,94.4,97.1,50.0,49.1,67.6,79.7,80.7,82.3,98.8,4175,96.4,66.4,87.7,94.2,32.7,35.9,48.0,63.9,75.0,70.6,98.0,3082,99.6,97.9,99.1,99.2,62.3,59.1,83.8,92.7,85.4,91.8,99.6,0.8481806775407779,82.13851761846901,98.05589307411908
Nagaland,10112,98.6,43.0,85.8,93.3,44.4,53.1,49.9,64.6,63.7,82.5,99.2,7687,98.0,24.9,82.7,90.7,34.1,39.8,40.3,55.2,55.4,76.3,99.8,2425,99.6,81.1,91.5,97.7,63.7,75.6,66.5,81.0,77.9,93.0,98.1,0.7724458204334366,60.484848484848484,77.21212121212122
NCT of Delhi,9486,99.9,98.9,85.0,92.3,59.7,60.9,63.8,85.2,72.5,73.8,92.0,306,99.9,97.6,89.0,93.5,68.7,70.1,69.2,87.4,84.8,81.0,94.3,9180,99.9,99.0,84.9,92.2,59.5,60.7,63.7,85.1,72.3,73.7,92.0,0.7488262910798121,86.44986449864498,98.23848238482385
Odisha,26467,97.0,34.7,71.9,87.1,33.0,38.6,24.9,50.7,86.5,50.1,90.2,22760,96.6,26.1,69.2,86.1,29.6,36.6,21.3,47.2,87.4,48.0,90.3,3707,99.1,76.9,83.9,90.7,47.9,46.0,39.7,64.2,82.8,58.8,89.9,0.49112426035502954,49.700598802395206,172.65469061876246
Puducherry,3520,99.9,92.3,91.1,94.6,65.4,74.2,61.9,80.7,92.6,82.9,97.9,700,99.7,84.6,89.1,97.5,57.8,64.5,50.4,69.4,96.7,76.6,96.6,2820,100.0,95.8,92.1,93.4,68.9,78.0,66.9,85.1,90.9,85.5,98.4,0.7670384138785625,74.6682750301568,111.70084439083232
Punjab,18824,99.7,76.7,81.4,89.9,56.0,58.7,54.8,78.2,81.6,61.2,91.4,12690,99.6,65.6,80.0,88.9,52.2,55.7,48.8,73.0,82.1,54.9,90.3,6134,99.8,93.8,83.7,91.3,62.4,62.9,64.1,85.6,80.9,71.0,93.3,0.7007672634271099,89.54248366013071,133.33333333333331
Rajasthan,31817,98.1,41.4,66.4,90.7,33.4,51.9,36.9,65.2,79.6,50.2,87.7,24994,97.7,26.2,61.6,90.1,27.8,48.4,30.8,59.4,79.0,45.3,86.8,6823,99.7,87.8,81.3,92.5,51.2,62.2,56.1,81.7,81.7,65.5,90.6,0.5659509202453987,73.50597609561753,158.5657370517928
Sikkim,3516,99.3,78.4,88.9,93.0,49.0,55.0,76.7,78.2,76.4,88.6,89.7,2916,99.1,64.4,86.2,90.3,41.2,44.2,68.1,69.5,76.7,83.3,93.9,600,99.5,97.5,92.8,96.9,60.2,70.7,90.0,94.2,76.0,96.9,80.5,0.9808184143222506,86.56884875846502,86.23024830699777
Tamil Nadu,27929,99.3,82.9,85.9,93.4,56.6,59.1,46.9,70.2,92.2,74.6,92.8,16123,99.1,73.7,81.5,92.6,49.9,54.3,39.2,64.9,91.7,68.9,93.7,11806,99.6,92.9,90.6,94.2,63.7,64.4,55.8,76.1,92.7,81.2,91.8,0.6680911680911681,62.86863270777479,123.59249329758714
Telangana,27351,99.6,91.8,66.6,84.8,45.5,61.2,26.5,57.4,84.4,60.0,87.2,20191,99.4,88.3,58.1,81.3,36.3,54.6,15.8,46.7,85.2,50.6,86.2,7160,99.8,98.2,81.0,90.2,60.9,71.0,43.9,72.3,83.0,75.2,88.9,0.46167247386759586,44.166666666666664,140.66666666666669
Tripura,7209,98.2,45.3,80.6,88.2,23.2,29.4,22.9,45.7,76.9,53.1,90.9,5827,97.7,32.6,76.9,86.0,17.9,25.1,17.7,45.2,77.7,48.0,89.5,1382,99.4,75.4,89.9,93.5,36.6,39.7,36.6,47.0,74.9,66.2,94.9,0.5010940919037199,43.126177024482104,144.8210922787194
Uttar Pradesh,70710,91.0,49.5,68.8,86.7,39.3,48.6,30.6,59.1,75.4,46.5,87.6,56657,88.9,36.2,65.6,86.3,35.0,45.6,24.5,54.2,74.1,42.4,86.8,14053,97.6,88.3,78.6,88.0,51.9,56.8,50.2,72.4,79.8,59.9,90.1,0.5177664974619289,65.80645161290323,162.1505376344086
Uttarakhand,12169,99.6,59.2,81.6,92.9,50.4,59.8,45.1,74.6,80.2,60.9,91.0,9811,99.6,42.9,79.8,93.2,46.0,58.7,39.4,71.2,79.8,55.7,90.6,2358,99.7,92.9,85.3,92.4,59.4,62.2,58.4,82.1,81.3,73.1,91.8,0.6045576407506703,74.05582922824303,131.6912972085386
